,Power
0,0.939847052
1,1.000810505
2,1.02253815
3,0.982890815
4,0.968457981
5,0.981361015
6,0.971159824
7,0.923291083
8,0.944751868
9,1.014023353
10,1.187792617
11,1.390142574
12,1.570143587
13,1.674916262
14,1.684236898
15,1.577850985
16,1.586102229
17,1.532829822
18,1.55344151
19,1.521789813
20,1.559374573
21,1.552848227
22,1.605150372
23,1.582487972
24,1.514963933
25,1.458185842
26,1.442244297
27,1.415211468
28,1.468314409
29,1.51151743
30,1.667239575
31,1.78298447
32,2.01746179
33,2.084366158
34,2.103151034
35,2.056238715
36,2.033359996
37,2.011495148
38,1.951762623
39,1.961887551
40,2.030077167
41,1.976047022
42,1.920252186
43,1.751748847
44,1.51657691
45,1.290909659
46,1.106277941
47,0.939847052
48,0.939847052
49,1.000810505
50,1.02253815
51,0.982890815
52,0.968457981
53,0.981361015
54,0.971159824
55,0.923291083
56,0.944751868
57,1.014023353
58,1.187792617
59,1.390142574
60,1.570143587
61,1.674916262
62,1.684236898
63,1.577850985
64,1.586102229
65,1.532829822
66,1.55344151
67,1.521789813
68,1.559374573
69,1.552848227
70,1.605150372
71,1.582487972
72,1.514963933
73,1.458185842
74,1.442244297
75,1.415211468
76,1.468314409
77,1.51151743
78,1.667239575
79,1.78298447
80,2.01746179
81,2.084366158
82,2.103151034
83,2.056238715
84,2.033359996
85,2.011495148
86,1.951762623
87,1.961887551
88,2.030077167
89,1.976047022
90,1.920252186
91,1.751748847
92,1.51657691
93,1.290909659
94,1.106277941
95,0.939847052
96,0.939847052
97,1.000810505
98,1.02253815
99,0.982890815
100,0.968457981
101,0.981361015
102,0.971159824
103,0.923291083
104,0.944751868
105,1.014023353
106,1.187792617
107,1.390142574
108,1.570143587
109,1.674916262
110,1.684236898
111,1.577850985
112,1.586102229
113,1.532829822
114,1.55344151
115,1.521789813
116,1.559374573
117,1.552848227
118,1.605150372
119,1.582487972
120,1.514963933
121,1.458185842
122,1.442244297
123,1.415211468
124,1.468314409
125,1.51151743
126,1.667239575
127,1.78298447
128,2.01746179
129,2.084366158
130,2.103151034
131,2.056238715
132,2.033359996
133,2.011495148
134,1.951762623
135,1.961887551
136,2.030077167
137,1.976047022
138,1.920252186
139,1.751748847
140,1.51657691
141,1.290909659
142,1.106277941
143,0.939847052
144,0.939847052
145,1.000810505
146,1.02253815
147,0.982890815
148,0.968457981
149,0.981361015
150,0.971159824
151,0.923291083
152,0.944751868
153,1.014023353
154,1.187792617
155,1.390142574
156,1.570143587
157,1.674916262
158,1.684236898
159,1.577850985
160,1.586102229
161,1.532829822
162,1.55344151
163,1.521789813
164,1.559374573
165,1.552848227
166,1.605150372
167,1.582487972
168,1.514963933
169,1.458185842
170,1.442244297
171,1.415211468
172,1.468314409
173,1.51151743
174,1.667239575
175,1.78298447
176,2.01746179
177,2.084366158
178,2.103151034
179,2.056238715
180,2.033359996
181,2.011495148
182,1.951762623
183,1.961887551
184,2.030077167
185,1.976047022
186,1.920252186
187,1.751748847
188,1.51657691
189,1.290909659
190,1.106277941
191,0.939847052
192,0.939847052
193,1.000810505
194,1.02253815
195,0.982890815
196,0.968457981
197,0.981361015
198,0.971159824
199,0.923291083
200,0.944751868
201,1.014023353
202,1.187792617
203,1.390142574
204,1.570143587
205,1.674916262
206,1.684236898
207,1.577850985
208,1.586102229
209,1.532829822
210,1.55344151
211,1.521789813
212,1.559374573
213,1.552848227
214,1.605150372
215,1.582487972
216,1.514963933
217,1.458185842
218,1.442244297
219,1.415211468
220,1.468314409
221,1.51151743
222,1.667239575
223,1.78298447
224,2.01746179
225,2.084366158
226,2.103151034
227,2.056238715
228,2.033359996
229,2.011495148
230,1.951762623
231,1.961887551
232,2.030077167
233,1.976047022
234,1.920252186
235,1.751748847
236,1.51657691
237,1.290909659
238,1.106277941
239,0.939847052
240,0.939847052
241,1.000810505
242,1.02253815
243,0.982890815
244,0.968457981
245,0.981361015
246,0.971159824
247,0.923291083
248,0.944751868
249,1.014023353
250,1.187792617
251,1.390142574
252,1.570143587
253,1.674916262
254,1.684236898
255,1.577850985
256,1.586102229
257,1.532829822
258,1.55344151
259,1.521789813
260,1.559374573
261,1.552848227
262,1.605150372
263,1.582487972
264,1.514963933
265,1.458185842
266,1.442244297
267,1.415211468
268,1.468314409
269,1.51151743
270,1.667239575
271,1.78298447
272,2.01746179
273,2.084366158
274,2.103151034
275,2.056238715
276,2.033359996
277,2.011495148
278,1.951762623
279,1.961887551
280,2.030077167
281,1.976047022
282,1.920252186
283,1.751748847
284,1.51657691
285,1.290909659
286,1.106277941
287,0.939847052
288,0.939847052
289,1.000810505
290,1.02253815
291,0.982890815
292,0.968457981
293,0.981361015
294,0.971159824
295,0.923291083
296,0.944751868
297,1.014023353
298,1.187792617
299,1.390142574
300,1.570143587
301,1.674916262
302,1.684236898
303,1.577850985
304,1.586102229
305,1.532829822
306,1.55344151
307,1.521789813
308,1.559374573
309,1.552848227
310,1.605150372
311,1.582487972
312,1.514963933
313,1.458185842
314,1.442244297
315,1.415211468
316,1.468314409
317,1.51151743
318,1.667239575
319,1.78298447
320,2.01746179
321,2.084366158
322,2.103151034
323,2.056238715
324,2.033359996
325,2.011495148
326,1.951762623
327,1.961887551
328,2.030077167
329,1.976047022
330,1.920252186
331,1.751748847
332,1.51657691
333,1.290909659
334,1.106277941
335,0.939847052
336,0.939847052
337,1.000810505
338,1.02253815
339,0.982890815
340,0.968457981
341,0.981361015
342,0.971159824
343,0.923291083
344,0.944751868
345,1.014023353
346,1.187792617
347,1.390142574
348,1.570143587
349,1.674916262
350,1.684236898
351,1.577850985
352,1.586102229
353,1.532829822
354,1.55344151
355,1.521789813
356,1.559374573
357,1.552848227
358,1.605150372
359,1.582487972
360,1.514963933
361,1.458185842
362,1.442244297
363,1.415211468
364,1.468314409
365,1.51151743
366,1.667239575
367,1.78298447
368,2.01746179
369,2.084366158
370,2.103151034
371,2.056238715
372,2.033359996
373,2.011495148
374,1.951762623
375,1.961887551
376,2.030077167
377,1.976047022
378,1.920252186
379,1.751748847
380,1.51657691
381,1.290909659
382,1.106277941
383,0.939847052
384,0.939847052
385,1.000810505
386,1.02253815
387,0.982890815
388,0.968457981
389,0.981361015
390,0.971159824
391,0.923291083
392,0.944751868
393,1.014023353
394,1.187792617
395,1.390142574
396,1.570143587
397,1.674916262
398,1.684236898
399,1.577850985
400,1.586102229
401,1.532829822
402,1.55344151
403,1.521789813
404,1.559374573
405,1.552848227
406,1.605150372
407,1.582487972
408,1.514963933
409,1.458185842
410,1.442244297
411,1.415211468
412,1.468314409
413,1.51151743
414,1.667239575
415,1.78298447
416,2.01746179
417,2.084366158
418,2.103151034
419,2.056238715
420,2.033359996
421,2.011495148
422,1.951762623
423,1.961887551
424,2.030077167
425,1.976047022
426,1.920252186
427,1.751748847
428,1.51657691
429,1.290909659
430,1.106277941
431,0.939847052
432,0.939847052
433,1.000810505
434,1.02253815
435,0.982890815
436,0.968457981
437,0.981361015
438,0.971159824
439,0.923291083
440,0.944751868
441,1.014023353
442,1.187792617
443,1.390142574
444,1.570143587
445,1.674916262
446,1.684236898
447,1.577850985
448,1.586102229
449,1.532829822
450,1.55344151
451,1.521789813
452,1.559374573
453,1.552848227
454,1.605150372
455,1.582487972
456,1.514963933
457,1.458185842
458,1.442244297
459,1.415211468
460,1.468314409
461,1.51151743
462,1.667239575
463,1.78298447
464,2.01746179
465,2.084366158
466,2.103151034
467,2.056238715
468,2.033359996
469,2.011495148
470,1.951762623
471,1.961887551
472,2.030077167
473,1.976047022
474,1.920252186
475,1.751748847
476,1.51657691
477,1.290909659
478,1.106277941
479,0.939847052
480,0.939847052
481,1.000810505
482,1.02253815
483,0.982890815
484,0.968457981
485,0.981361015
486,0.971159824
487,0.923291083
488,0.944751868
489,1.014023353
490,1.187792617
491,1.390142574
492,1.570143587
493,1.674916262
494,1.684236898
495,1.577850985
496,1.586102229
497,1.532829822
498,1.55344151
499,1.521789813
500,1.559374573
501,1.552848227
502,1.605150372
503,1.582487972
504,1.514963933
505,1.458185842
506,1.442244297
507,1.415211468
508,1.468314409
509,1.51151743
510,1.667239575
511,1.78298447
512,2.01746179
513,2.084366158
514,2.103151034
515,2.056238715
516,2.033359996
517,2.011495148
518,1.951762623
519,1.961887551
520,2.030077167
521,1.976047022
522,1.920252186
523,1.751748847
524,1.51657691
525,1.290909659
526,1.106277941
527,0.939847052
528,0.939847052
529,1.000810505
530,1.02253815
531,0.982890815
532,0.968457981
533,0.981361015
534,0.971159824
535,0.923291083
536,0.944751868
537,1.014023353
538,1.187792617
539,1.390142574
540,1.570143587
541,1.674916262
542,1.684236898
543,1.577850985
544,1.586102229
545,1.532829822
546,1.55344151
547,1.521789813
548,1.559374573
549,1.552848227
550,1.605150372
551,1.582487972
552,1.514963933
553,1.458185842
554,1.442244297
555,1.415211468
556,1.468314409
557,1.51151743
558,1.667239575
559,1.78298447
560,2.01746179
561,2.084366158
562,2.103151034
563,2.056238715
564,2.033359996
565,2.011495148
566,1.951762623
567,1.961887551
568,2.030077167
569,1.976047022
570,1.920252186
571,1.751748847
572,1.51657691
573,1.290909659
574,1.106277941
575,0.939847052
576,0.939847052
577,1.000810505
578,1.02253815
579,0.982890815
580,0.968457981
581,0.981361015
582,0.971159824
583,0.923291083
584,0.944751868
585,1.014023353
586,1.187792617
587,1.390142574
588,1.570143587
589,1.674916262
590,1.684236898
591,1.577850985
592,1.586102229
593,1.532829822
594,1.55344151
595,1.521789813
596,1.559374573
597,1.552848227
598,1.605150372
599,1.582487972
600,1.514963933
601,1.458185842
602,1.442244297
603,1.415211468
604,1.468314409
605,1.51151743
606,1.667239575
607,1.78298447
608,2.01746179
609,2.084366158
610,2.103151034
611,2.056238715
612,2.033359996
613,2.011495148
614,1.951762623
615,1.961887551
616,2.030077167
617,1.976047022
618,1.920252186
619,1.751748847
620,1.51657691
621,1.290909659
622,1.106277941
623,0.939847052
624,0.939847052
625,1.000810505
626,1.02253815
627,0.982890815
628,0.968457981
629,0.981361015
630,0.971159824
631,0.923291083
632,0.944751868
633,1.014023353
634,1.187792617
635,1.390142574
636,1.570143587
637,1.674916262
638,1.684236898
639,1.577850985
640,1.586102229
641,1.532829822
642,1.55344151
643,1.521789813
644,1.559374573
645,1.552848227
646,1.605150372
647,1.582487972
648,1.514963933
649,1.458185842
650,1.442244297
651,1.415211468
652,1.468314409
653,1.51151743
654,1.667239575
655,1.78298447
656,2.01746179
657,2.084366158
658,2.103151034
659,2.056238715
660,2.033359996
661,2.011495148
662,1.951762623
663,1.961887551
664,2.030077167
665,1.976047022
666,1.920252186
667,1.751748847
668,1.51657691
669,1.290909659
670,1.106277941
671,0.939847052
672,0.939847052
673,1.000810505
674,1.02253815
675,0.982890815
676,0.968457981
677,0.981361015
678,0.971159824
679,0.923291083
680,0.944751868
681,1.014023353
682,1.187792617
683,1.390142574
684,1.570143587
685,1.674916262
686,1.684236898
687,1.577850985
688,1.586102229
689,1.532829822
690,1.55344151
691,1.521789813
692,1.559374573
693,1.552848227
694,1.605150372
695,1.582487972
696,1.514963933
697,1.458185842
698,1.442244297
699,1.415211468
700,1.468314409
701,1.51151743
702,1.667239575
703,1.78298447
704,2.01746179
