,Heat
0,3.481886274
1,3.338540939
2,3.387448821
3,3.512981916
4,3.706152747
5,3.91505835
6,4.192910861
7,4.500185371
8,4.477344664
9,4.902351517
10,5.436453844
11,5.868801419
12,6.679612687
13,8.23577436
14,9.349523995
15,9.632331071
16,9.215611476
17,8.245167422
18,7.002850842
19,6.061173873
20,5.280558235
21,4.949208696
22,4.740022838
23,4.502549848
24,4.400905457
25,4.327726372
26,4.257752852
27,4.187222597
28,4.125264938
29,4.115679247
30,4.210888483
31,4.437051448
32,4.84300327
33,5.361659158
34,5.753271681
35,6.040689368
36,6.390239892
37,6.694512997
38,6.799673069
39,6.774232978
40,6.706330833
41,6.628664545
42,6.514808528
43,6.286556964
44,5.769539748
45,4.591050801
46,4.114446621
47,3.625231608
48,3.481331729
49,3.338009225
50,3.386909317
51,3.512422419
52,3.705562484
53,3.914434816
54,4.192243074
55,4.499468646
56,4.476631577
57,4.901570741
58,5.435588004
59,5.86786672
60,6.678548854
61,8.234462685
62,9.348034937
63,9.630796972
64,9.214143746
65,8.243854251
66,7.001735529
67,6.060208537
68,5.279717223
69,4.948420457
70,4.739267916
71,4.501832747
72,4.400204545
73,4.327037114
74,4.257074738
75,4.186555716
76,4.124607925
77,4.11502376
78,4.210217833
79,4.436344778
80,4.842231946
81,5.360805231
82,5.752355383
83,6.039727294
84,6.389222146
85,6.693446791
86,6.798590115
87,6.773154076
88,6.705262745
89,6.627608826
90,6.513770943
91,6.285555731
92,5.768620859
93,4.590319605
94,4.113791331
95,3.624654233
96,4.055797492
97,3.88882488
98,3.945794134
99,4.092018557
100,4.317029287
101,4.560368315
102,4.884018609
103,5.241940462
104,5.215334975
105,5.710394719
106,6.332531891
107,6.836142311
108,7.780597715
109,9.593257899
110,10.8905843
111,11.22000581
112,10.73459929
113,9.604199198
114,8.157114464
115,7.06022307
116,6.150940371
117,5.764975258
118,5.521309782
119,5.244694671
120,5.126296471
121,5.041055447
122,4.959548355
123,4.877392762
124,4.805222766
125,4.794057087
126,4.90495944
127,5.168400321
128,5.641264239
129,6.245408971
130,6.701570075
131,7.036362151
132,7.443528275
133,7.797954009
134,7.920447371
135,7.890814049
136,7.811719751
137,7.721251909
138,7.58862927
139,7.322755531
140,6.72051957
141,5.34778303
142,4.792621291
