,Demand
0,1.731877463
1,1.733030458
2,1.753900928
3,1.759761573
4,1.79206828
5,1.841262286
6,1.893010849
7,1.931945435
8,1.938002575
9,2.059595538
10,2.255758535
11,2.445392659
12,2.701286713
13,3.072066725
14,3.304602364
15,3.309272279
16,3.22813627
17,3.002945344
18,2.759070823
19,2.550576054
20,2.409652971
21,2.338595044
22,2.321946287
23,2.262027656
24,2.207468999
25,2.164107371
26,2.141819882
27,2.113872841
28,2.127747656
29,2.147387915
30,2.244728981
31,2.348874806
32,2.549171991
33,2.688742168
34,2.778259283
35,2.813609335
36,2.873688686
37,2.925011126
38,2.916660816
39,2.916518189
40,2.936720087
41,2.893814342
42,2.842621764
43,2.711669385
44,2.488300699
45,2.134345965
46,1.944515973
47,1.761206195
48,1.732027655
49,1.733178977
50,1.754050017
51,1.759912127
52,1.792221089
53,1.841417533
54,1.893169338
55,1.932107511
56,1.938164384
57,2.059762307
58,2.255931537
59,2.445570707
60,2.701474223
61,3.072272397
62,3.304821033
63,3.30949425
64,3.228353377
65,3.003151126
66,2.759262106
67,2.550756347
68,2.409824154
69,2.33876236
70,2.322111162
71,2.262189759
72,2.207629915
73,2.164267434
74,2.141979128
75,2.114031264
76,2.127905355
77,2.147545503
78,2.24488768
79,2.349036145
80,2.549338067
81,2.688914298
82,2.778435982
83,2.813789389
84,2.87387282
85,2.92519881
86,2.916849728
87,2.916706803
88,2.936907909
89,2.894001258
90,2.842807351
91,2.711852308
92,2.488477588
93,2.134509101
94,1.944673547
95,1.761358059
96,1.822024769
97,1.819475522
98,1.841609156
99,1.850712
100,1.888007814
101,1.942597316
102,2.001522097
103,2.048392795
104,2.053860019
105,2.186429819
106,2.396387309
107,2.597187863
108,2.874023092
109,3.284994771
110,3.546295706
111,3.558269804
112,3.466370995
113,3.216115988
114,2.940155616
115,2.707339744
116,2.546255361
117,2.466639525
118,2.444588034
119,2.378536085
120,2.321352213
121,2.276100558
122,2.252005832
123,2.222237176
124,2.234511783
125,2.253904468
126,2.353704544
127,2.463691579
128,2.674473459
129,2.827439188
130,2.927070649
131,2.969843964
132,3.038951308
133,3.098132342
134,3.092498047
135,3.091698368
136,3.110146528
137,3.065234862
138,3.011101675
139,2.874254143
140,2.637532228
141,2.253140147
142,2.051000691
143,1.855055743
144,1.885119766
145,1.879977479
146,1.902995831
147,1.9143695
148,1.95515967
149,2.013528162
150,2.077479145
151,2.129908273
152,2.13496232
153,2.275220264
154,2.494839377
155,2.703460865
156,2.994963232
157,3.434085034
158,3.715533099
159,3.732623024
160,3.633185984
161,3.365376167
162,3.066942959
163,2.817092661
164,2.641887362
165,2.556277592
166,2.530442042
167,2.460094334
168,2.401071771
169,2.354496345
170,2.329135836
171,2.298091326
172,2.309245152
173,2.328464438
174,2.429986797
175,2.544064998
176,2.762190327
177,2.924538261
178,3.031253781
179,3.079226326
180,3.154656851
181,3.21934202
182,3.215610015
183,3.214350138
184,3.231569985
185,3.185253378
186,3.129060597
187,2.988084117
188,2.74200964
189,2.336299331
190,2.125538363
191,1.92074378
192,1.770375742
193,1.769961847
194,1.791366922
195,1.798599754
196,1.833017987
197,1.884495513
198,1.939281247
199,1.981574611
200,1.987382082
201,2.113620741
202,2.315621942
203,2.509982003
204,2.774738931
205,3.162529149
206,3.407239042
207,3.415000287
208,3.329309168
209,3.093510442
210,2.836056317
211,2.617268196
212,2.467812303
213,2.393132437
214,2.374197096
215,2.311682678
216,2.256012959
217,2.21185142
218,2.188799059
219,2.160081061
220,2.173278624
221,2.192814104
222,2.291195889
223,2.397813874
224,2.602548466
225,2.747788005
226,2.841585785
227,2.880077564
228,2.943977807
229,2.998626217
230,2.991425399
231,2.991004689
232,3.010464358
233,2.966709653
234,2.914272529
235,2.780825161
236,2.551805026
