,Datetime,pimp,pexp
0,2019-01-01 00:00:00,105,231
1,2019-01-01 00:30:00,105,231
2,2019-01-01 01:00:00,105,231
3,2019-01-01 01:30:00,105,231
4,2019-01-01 02:00:00,105,231
5,2019-01-01 02:30:00,105,231
6,2019-01-01 03:00:00,105,231
7,2019-01-01 03:30:00,105,231
8,2019-01-01 04:00:00,105,231
9,2019-01-01 04:30:00,105,231
10,2019-01-01 05:00:00,105,231
11,2019-01-01 05:30:00,105,231
12,2019-01-01 06:00:00,105,231
13,2019-01-01 06:30:00,105,231
14,2019-01-01 07:00:00,56,105
15,2019-01-01 07:30:00,56,105
16,2019-01-01 08:00:00,56,105
17,2019-01-01 08:30:00,56,105
18,2019-01-01 09:00:00,56,105
19,2019-01-01 09:30:00,56,105
20,2019-01-01 10:00:00,56,105
21,2019-01-01 10:30:00,56,105
22,2019-01-01 11:00:00,56,105
23,2019-01-01 11:30:00,56,105
24,2019-01-01 12:00:00,56,105
25,2019-01-01 12:30:00,56,105
26,2019-01-01 13:00:00,56,105
27,2019-01-01 13:30:00,56,105
28,2019-01-01 14:00:00,56,105
29,2019-01-01 14:30:00,56,105
30,2019-01-01 15:00:00,56,105
31,2019-01-01 15:30:00,56,105
32,2019-01-01 16:00:00,63,142
33,2019-01-01 16:30:00,63,142
34,2019-01-01 17:00:00,63,142
35,2019-01-01 17:30:00,63,142
36,2019-01-01 18:00:00,63,142
37,2019-01-01 18:30:00,63,142
38,2019-01-01 19:00:00,63,142
39,2019-01-01 19:30:00,63,142
40,2019-01-01 20:00:00,63,142
41,2019-01-01 20:30:00,63,142
42,2019-01-01 21:00:00,63,142
43,2019-01-01 21:30:00,63,142
44,2019-01-01 22:00:00,105,231
45,2019-01-01 22:30:00,105,231
46,2019-01-01 23:00:00,105,231
47,2019-01-01 23:30:00,105,231
48,2019-01-02 00:00:00,105,231
49,2019-01-02 00:30:00,105,231
50,2019-01-02 01:00:00,105,231
51,2019-01-02 01:30:00,105,231
52,2019-01-02 02:00:00,105,231
53,2019-01-02 02:30:00,105,231
54,2019-01-02 03:00:00,105,231
55,2019-01-02 03:30:00,105,231
56,2019-01-02 04:00:00,105,231
57,2019-01-02 04:30:00,105,231
58,2019-01-02 05:00:00,105,231
59,2019-01-02 05:30:00,105,231
60,2019-01-02 06:00:00,105,231
61,2019-01-02 06:30:00,105,231
62,2019-01-02 07:00:00,56,105
63,2019-01-02 07:30:00,56,105
64,2019-01-02 08:00:00,56,105
65,2019-01-02 08:30:00,56,105
66,2019-01-02 09:00:00,56,105
67,2019-01-02 09:30:00,56,105
68,2019-01-02 10:00:00,56,105
69,2019-01-02 10:30:00,56,105
70,2019-01-02 11:00:00,56,105
71,2019-01-02 11:30:00,56,105
72,2019-01-02 12:00:00,56,105
73,2019-01-02 12:30:00,56,105
74,2019-01-02 13:00:00,56,105
75,2019-01-02 13:30:00,56,105
76,2019-01-02 14:00:00,56,105
77,2019-01-02 14:30:00,56,105
78,2019-01-02 15:00:00,56,105
79,2019-01-02 15:30:00,56,105
80,2019-01-02 16:00:00,63,142
81,2019-01-02 16:30:00,63,142
82,2019-01-02 17:00:00,63,142
83,2019-01-02 17:30:00,63,142
84,2019-01-02 18:00:00,63,142
85,2019-01-02 18:30:00,63,142
86,2019-01-02 19:00:00,63,142
87,2019-01-02 19:30:00,63,142
88,2019-01-02 20:00:00,63,142
89,2019-01-02 20:30:00,63,142
90,2019-01-02 21:00:00,63,142
91,2019-01-02 21:30:00,63,142
92,2019-01-02 22:00:00,105,231
93,2019-01-02 22:30:00,105,231
94,2019-01-02 23:00:00,105,231
95,2019-01-02 23:30:00,105,231
96,2019-01-03 00:00:00,105,231
97,2019-01-03 00:30:00,105,231
98,2019-01-03 01:00:00,105,231
99,2019-01-03 01:30:00,105,231
100,2019-01-03 02:00:00,105,231
101,2019-01-03 02:30:00,105,231
102,2019-01-03 03:00:00,105,231
103,2019-01-03 03:30:00,105,231
104,2019-01-03 04:00:00,105,231
105,2019-01-03 04:30:00,105,231
106,2019-01-03 05:00:00,105,231
107,2019-01-03 05:30:00,105,231
108,2019-01-03 06:00:00,105,231
109,2019-01-03 06:30:00,105,231
110,2019-01-03 07:00:00,56,105
111,2019-01-03 07:30:00,56,105
112,2019-01-03 08:00:00,56,105
113,2019-01-03 08:30:00,56,105
114,2019-01-03 09:00:00,56,105
115,2019-01-03 09:30:00,56,105
116,2019-01-03 10:00:00,56,105
117,2019-01-03 10:30:00,56,105
118,2019-01-03 11:00:00,56,105
119,2019-01-03 11:30:00,56,105
120,2019-01-03 12:00:00,56,105
121,2019-01-03 12:30:00,56,105
122,2019-01-03 13:00:00,56,105
123,2019-01-03 13:30:00,56,105
124,2019-01-03 14:00:00,56,105
125,2019-01-03 14:30:00,56,105
126,2019-01-03 15:00:00,56,105
127,2019-01-03 15:30:00,56,105
128,2019-01-03 16:00:00,63,142
129,2019-01-03 16:30:00,63,142
130,2019-01-03 17:00:00,63,142
131,2019-01-03 17:30:00,63,142
132,2019-01-03 18:00:00,63,142
133,2019-01-03 18:30:00,63,142
134,2019-01-03 19:00:00,63,142
135,2019-01-03 19:30:00,63,142
136,2019-01-03 20:00:00,63,142
137,2019-01-03 20:30:00,63,142
138,2019-01-03 21:00:00,63,142
139,2019-01-03 21:30:00,63,142
140,2019-01-03 22:00:00,105,231
141,2019-01-03 22:30:00,105,231
142,2019-01-03 23:00:00,105,231
143,2019-01-03 23:30:00,105,231
144,2019-01-04 00:00:00,105,231
145,2019-01-04 00:30:00,105,231
146,2019-01-04 01:00:00,105,231
147,2019-01-04 01:30:00,105,231
148,2019-01-04 02:00:00,105,231
149,2019-01-04 02:30:00,105,231
150,2019-01-04 03:00:00,105,231
151,2019-01-04 03:30:00,105,231
152,2019-01-04 04:00:00,105,231
153,2019-01-04 04:30:00,105,231
154,2019-01-04 05:00:00,105,231
155,2019-01-04 05:30:00,105,231
156,2019-01-04 06:00:00,105,231
157,2019-01-04 06:30:00,105,231
158,2019-01-04 07:00:00,56,105
159,2019-01-04 07:30:00,56,105
160,2019-01-04 08:00:00,56,105
161,2019-01-04 08:30:00,56,105
162,2019-01-04 09:00:00,56,105
163,2019-01-04 09:30:00,56,105
164,2019-01-04 10:00:00,56,105
165,2019-01-04 10:30:00,56,105
166,2019-01-04 11:00:00,56,105
167,2019-01-04 11:30:00,56,105
168,2019-01-04 12:00:00,56,105
169,2019-01-04 12:30:00,56,105
170,2019-01-04 13:00:00,56,105
171,2019-01-04 13:30:00,56,105
172,2019-01-04 14:00:00,56,105
173,2019-01-04 14:30:00,56,105
174,2019-01-04 15:00:00,56,105
175,2019-01-04 15:30:00,56,105
176,2019-01-04 16:00:00,63,142
177,2019-01-04 16:30:00,63,142
178,2019-01-04 17:00:00,63,142
179,2019-01-04 17:30:00,63,142
180,2019-01-04 18:00:00,63,142
181,2019-01-04 18:30:00,63,142
182,2019-01-04 19:00:00,63,142
183,2019-01-04 19:30:00,63,142
184,2019-01-04 20:00:00,63,142
185,2019-01-04 20:30:00,63,142
186,2019-01-04 21:00:00,63,142
187,2019-01-04 21:30:00,63,142
188,2019-01-04 22:00:00,105,231
189,2019-01-04 22:30:00,105,231
190,2019-01-04 23:00:00,105,231
191,2019-01-04 23:30:00,105,231
192,2019-01-05 00:00:00,105,231
193,2019-01-05 00:30:00,105,231
194,2019-01-05 01:00:00,105,231
195,2019-01-05 01:30:00,105,231
196,2019-01-05 02:00:00,105,231
197,2019-01-05 02:30:00,105,231
198,2019-01-05 03:00:00,105,231
199,2019-01-05 03:30:00,105,231
200,2019-01-05 04:00:00,105,231
201,2019-01-05 04:30:00,105,231
202,2019-01-05 05:00:00,105,231
203,2019-01-05 05:30:00,105,231
204,2019-01-05 06:00:00,105,231
205,2019-01-05 06:30:00,105,231
206,2019-01-05 07:00:00,56,105
207,2019-01-05 07:30:00,56,105
208,2019-01-05 08:00:00,56,105
209,2019-01-05 08:30:00,56,105
210,2019-01-05 09:00:00,56,105
211,2019-01-05 09:30:00,56,105
212,2019-01-05 10:00:00,56,105
213,2019-01-05 10:30:00,56,105
214,2019-01-05 11:00:00,56,105
215,2019-01-05 11:30:00,56,105
216,2019-01-05 12:00:00,56,105
217,2019-01-05 12:30:00,56,105
218,2019-01-05 13:00:00,56,105
219,2019-01-05 13:30:00,56,105
220,2019-01-05 14:00:00,56,105
221,2019-01-05 14:30:00,56,105
222,2019-01-05 15:00:00,56,105
223,2019-01-05 15:30:00,56,105
224,2019-01-05 16:00:00,63,142
225,2019-01-05 16:30:00,63,142
226,2019-01-05 17:00:00,63,142
227,2019-01-05 17:30:00,63,142
228,2019-01-05 18:00:00,63,142
229,2019-01-05 18:30:00,63,142
230,2019-01-05 19:00:00,63,142
231,2019-01-05 19:30:00,63,142
232,2019-01-05 20:00:00,63,142
233,2019-01-05 20:30:00,63,142
234,2019-01-05 21:00:00,63,142
235,2019-01-05 21:30:00,63,142
236,2019-01-05 22:00:00,105,231
237,2019-01-05 22:30:00,105,231
238,2019-01-05 23:00:00,105,231
239,2019-01-05 23:30:00,105,231
240,2019-01-06 00:00:00,105,231
241,2019-01-06 00:30:00,105,231
242,2019-01-06 01:00:00,105,231
243,2019-01-06 01:30:00,105,231
244,2019-01-06 02:00:00,105,231
245,2019-01-06 02:30:00,105,231
246,2019-01-06 03:00:00,105,231
247,2019-01-06 03:30:00,105,231
248,2019-01-06 04:00:00,105,231
249,2019-01-06 04:30:00,105,231
250,2019-01-06 05:00:00,105,231
251,2019-01-06 05:30:00,105,231
252,2019-01-06 06:00:00,105,231
253,2019-01-06 06:30:00,105,231
254,2019-01-06 07:00:00,56,105
255,2019-01-06 07:30:00,56,105
256,2019-01-06 08:00:00,56,105
257,2019-01-06 08:30:00,56,105
258,2019-01-06 09:00:00,56,105
259,2019-01-06 09:30:00,56,105
260,2019-01-06 10:00:00,56,105
261,2019-01-06 10:30:00,56,105
262,2019-01-06 11:00:00,56,105
263,2019-01-06 11:30:00,56,105
264,2019-01-06 12:00:00,56,105
265,2019-01-06 12:30:00,56,105
266,2019-01-06 13:00:00,56,105
267,2019-01-06 13:30:00,56,105
268,2019-01-06 14:00:00,56,105
269,2019-01-06 14:30:00,56,105
270,2019-01-06 15:00:00,56,105
271,2019-01-06 15:30:00,56,105
272,2019-01-06 16:00:00,63,142
273,2019-01-06 16:30:00,63,142
274,2019-01-06 17:00:00,63,142
275,2019-01-06 17:30:00,63,142
276,2019-01-06 18:00:00,63,142
277,2019-01-06 18:30:00,63,142
278,2019-01-06 19:00:00,63,142
279,2019-01-06 19:30:00,63,142
280,2019-01-06 20:00:00,63,142
281,2019-01-06 20:30:00,63,142
282,2019-01-06 21:00:00,63,142
283,2019-01-06 21:30:00,63,142
284,2019-01-06 22:00:00,105,231
285,2019-01-06 22:30:00,105,231
286,2019-01-06 23:00:00,105,231
287,2019-01-06 23:30:00,105,231
288,2019-01-07 00:00:00,105,231
289,2019-01-07 00:30:00,105,231
290,2019-01-07 01:00:00,105,231
291,2019-01-07 01:30:00,105,231
292,2019-01-07 02:00:00,105,231
293,2019-01-07 02:30:00,105,231
294,2019-01-07 03:00:00,105,231
295,2019-01-07 03:30:00,105,231
296,2019-01-07 04:00:00,105,231
297,2019-01-07 04:30:00,105,231
298,2019-01-07 05:00:00,105,231
299,2019-01-07 05:30:00,105,231
300,2019-01-07 06:00:00,105,231
301,2019-01-07 06:30:00,105,231
302,2019-01-07 07:00:00,56,105
303,2019-01-07 07:30:00,56,105
304,2019-01-07 08:00:00,56,105
305,2019-01-07 08:30:00,56,105
306,2019-01-07 09:00:00,56,105
307,2019-01-07 09:30:00,56,105
308,2019-01-07 10:00:00,56,105
309,2019-01-07 10:30:00,56,105
310,2019-01-07 11:00:00,56,105
311,2019-01-07 11:30:00,56,105
312,2019-01-07 12:00:00,56,105
313,2019-01-07 12:30:00,56,105
314,2019-01-07 13:00:00,56,105
315,2019-01-07 13:30:00,56,105
316,2019-01-07 14:00:00,56,105
317,2019-01-07 14:30:00,56,105
318,2019-01-07 15:00:00,56,105
319,2019-01-07 15:30:00,56,105
320,2019-01-07 16:00:00,63,142
321,2019-01-07 16:30:00,63,142
322,2019-01-07 17:00:00,63,142
