time,local_time,temperature,precipitation,snowfall,snow_mass,air_density,radiation_surface,radiation_toa,cloud_cover
2019/1/1 0:00,2019/1/1 0:00,5.976,0.007,0,0,1.269,0,0,0.753
2019/1/1 1:00,2019/1/1 1:00,5.817,0.009,0,0,1.27,0,0,0.728
2019/1/1 2:00,2019/1/1 2:00,5.651,0.008,0,0,1.271,0,0,0.692
2019/1/1 3:00,2019/1/1 3:00,5.833,0.006,0,0,1.27,0,0,0.799
2019/1/1 4:00,2019/1/1 4:00,6.105,0.004,0,0,1.269,0,0,0.896
2019/1/1 5:00,2019/1/1 5:00,6.253,0.004,0,0,1.269,0,0,0.859
2019/1/1 6:00,2019/1/1 6:00,6.34,0.005,0,0,1.268,0,0,0.846
2019/1/1 7:00,2019/1/1 7:00,6.384,0.006,0,0,1.268,0,0,0.875
2019/1/1 8:00,2019/1/1 8:00,6.593,0.007,0,0,1.268,4.714,47.041,0.879
2019/1/1 9:00,2019/1/1 9:00,7.052,0.007,0,0,1.266,31.531,192.244,0.805
2019/1/1 10:00,2019/1/1 10:00,7.707,0.005,0,0,1.264,61.554,300.869,0.788
2019/1/1 11:00,2019/1/1 11:00,8.439,0.004,0,0,1.261,99.478,359.441,0.689
2019/1/1 12:00,2019/1/1 12:00,8.959,0.004,0,0,1.258,108.257,364.085,0.624
2019/1/1 13:00,2019/1/1 13:00,9.161,0.002,0,0,1.257,111.577,314.509,0.468
2019/1/1 14:00,2019/1/1 14:00,8.828,0.003,0,0,1.258,74.662,214.002,0.404
2019/1/1 15:00,2019/1/1 15:00,7.505,0.003,0,0,1.261,22.215,70.181,0.236
2019/1/1 16:00,2019/1/1 16:00,5.785,0.001,0,0,1.265,0,0,0.137
2019/1/1 17:00,2019/1/1 17:00,4.271,0,0,0,1.271,0,0,0.007
2019/1/1 18:00,2019/1/1 18:00,3.302,0,0,0,1.277,0,0,0.001
2019/1/1 19:00,2019/1/1 19:00,2.523,0,0,0,1.282,0,0,0.024
2019/1/1 20:00,2019/1/1 20:00,1.903,0,0,0,1.287,0,0,0.158
2019/1/1 21:00,2019/1/1 21:00,1.803,0,0,0,1.291,0,0,0.415
2019/1/1 22:00,2019/1/1 22:00,1.981,0.002,0,0,1.296,0,0,0.736
