time,temperature,precipitation,snowfall,snow_mass,air_density,radiation_surface,radiation_toa,cloud_cover
2019-01-01 00:00:00,5.976,0.007,0.0,0.0,1.269,0.0,0.0,0.753
2019-01-01 00:30:00,5.8965,0.008,0.0,0.0,1.2694999999999999,0.0,0.0,0.7404999999999999
2019-01-01 01:00:00,5.817,0.009,0.0,0.0,1.27,0.0,0.0,0.728
2019-01-01 01:30:00,5.734,0.0085,0.0,0.0,1.2705,0.0,0.0,0.71
2019-01-01 02:00:00,5.651,0.008,0.0,0.0,1.271,0.0,0.0,0.692
2019-01-01 02:30:00,5.742,0.007,0.0,0.0,1.2705,0.0,0.0,0.7455
2019-01-01 03:00:00,5.833,0.006,0.0,0.0,1.27,0.0,0.0,0.799
2019-01-01 03:30:00,5.969,0.005,0.0,0.0,1.2694999999999999,0.0,0.0,0.8475
2019-01-01 04:00:00,6.105,0.004,0.0,0.0,1.269,0.0,0.0,0.896
2019-01-01 04:30:00,6.179,0.004,0.0,0.0,1.269,0.0,0.0,0.8775
2019-01-01 05:00:00,6.253,0.004,0.0,0.0,1.269,0.0,0.0,0.859
2019-01-01 05:30:00,6.2965,0.0045000000000000005,0.0,0.0,1.2685,0.0,0.0,0.8525
2019-01-01 06:00:00,6.34,0.005,0.0,0.0,1.268,0.0,0.0,0.846
2019-01-01 06:30:00,6.362,0.0055,0.0,0.0,1.268,0.0,0.0,0.8605
2019-01-01 07:00:00,6.384,0.006,0.0,0.0,1.268,0.0,0.0,0.875
2019-01-01 07:30:00,6.4885,0.006500000000000001,0.0,0.0,1.268,2.357,23.5205,0.877
2019-01-01 08:00:00,6.593,0.007,0.0,0.0,1.268,4.714,47.041,0.879
2019-01-01 08:30:00,6.8225,0.007,0.0,0.0,1.267,18.1225,119.6425,0.8420000000000001
2019-01-01 09:00:00,7.052,0.007,0.0,0.0,1.266,31.531,192.244,0.805
2019-01-01 09:30:00,7.3795,0.006,0.0,0.0,1.2650000000000001,46.542500000000004,246.55650000000003,0.7965
2019-01-01 10:00:00,7.707,0.005,0.0,0.0,1.264,61.554,300.869,0.788
2019-01-01 10:30:00,8.073,0.0045000000000000005,0.0,0.0,1.2625,80.51599999999999,330.155,0.7384999999999999
2019-01-01 11:00:00,8.439,0.004,0.0,0.0,1.261,99.478,359.441,0.689
2019-01-01 11:30:00,8.699,0.004,0.0,0.0,1.2595,103.8675,361.763,0.6565
2019-01-01 12:00:00,8.959,0.004,0.0,0.0,1.258,108.257,364.085,0.624
2019-01-01 12:30:00,9.059999999999999,0.003,0.0,0.0,1.2574999999999998,109.917,339.297,0.546
2019-01-01 13:00:00,9.161,0.002,0.0,0.0,1.257,111.577,314.509,0.468
2019-01-01 13:30:00,8.994499999999999,0.0025,0.0,0.0,1.2574999999999998,93.1195,264.2555,0.43600000000000005
2019-01-01 14:00:00,8.828,0.003,0.0,0.0,1.258,74.662,214.002,0.404
2019-01-01 14:30:00,8.1665,0.003,0.0,0.0,1.2595,48.438500000000005,142.0915,0.32
2019-01-01 15:00:00,7.505,0.003,0.0,0.0,1.261,22.215,70.181,0.236
2019-01-01 15:30:00,6.645,0.002,0.0,0.0,1.263,11.1075,35.0905,0.1865
2019-01-01 16:00:00,5.785,0.001,0.0,0.0,1.265,0.0,0.0,0.137
2019-01-01 16:30:00,5.0280000000000005,0.0005,0.0,0.0,1.2679999999999998,0.0,0.0,0.07200000000000001
2019-01-01 17:00:00,4.271,0.0,0.0,0.0,1.271,0.0,0.0,0.007
2019-01-01 17:30:00,3.7865,0.0,0.0,0.0,1.274,0.0,0.0,0.004
2019-01-01 18:00:00,3.302,0.0,0.0,0.0,1.277,0.0,0.0,0.001
2019-01-01 18:30:00,2.9125,0.0,0.0,0.0,1.2795,0.0,0.0,0.0125
2019-01-01 19:00:00,2.523,0.0,0.0,0.0,1.282,0.0,0.0,0.024
2019-01-01 19:30:00,2.213,0.0,0.0,0.0,1.2845,0.0,0.0,0.091
2019-01-01 20:00:00,1.903,0.0,0.0,0.0,1.287,0.0,0.0,0.158
2019-01-01 20:30:00,1.853,0.0,0.0,0.0,1.289,0.0,0.0,0.2865
2019-01-01 21:00:00,1.803,0.0,0.0,0.0,1.291,0.0,0.0,0.415
2019-01-01 21:30:00,1.892,0.001,0.0,0.0,1.2934999999999999,0.0,0.0,0.5755
2019-01-01 22:00:00,1.981,0.002,0.0,0.0,1.296,0.0,0.0,0.736
2019-01-01 22:30:00,1.9855,0.002,0.0,0.0,1.298,0.0,0.0,0.758
2019-01-01 23:00:00,1.99,0.002,0.0,0.0,1.3,0.0,0.0,0.78
2019-01-01 23:30:00,1.6204999999999998,0.0015,0.0,0.0,1.3010000000000002,0.0,0.0,0.6799999999999999
2019-01-02 00:00:00,1.251,0.001,0.0,0.0,1.302,0.0,0.0,0.58
2019-01-02 00:30:00,0.988,0.001,0.0,0.0,1.304,0.0,0.0,0.6074999999999999
2019-01-02 01:00:00,0.725,0.001,0.0,0.0,1.306,0.0,0.0,0.635
2019-01-02 01:30:00,0.4865,0.001,0.0,0.0,1.307,0.0,0.0,0.6065
2019-01-02 02:00:00,0.248,0.001,0.0,0.0,1.308,0.0,0.0,0.578
2019-01-02 02:30:00,0.112,0.001,0.0005,0.0,1.3090000000000002,0.0,0.0,0.582
2019-01-02 03:00:00,-0.024,0.001,0.001,0.0,1.31,0.0,0.0,0.586
2019-01-02 03:30:00,-0.27,0.001,0.001,0.0,1.3105,0.0,0.0,0.5845
2019-01-02 04:00:00,-0.516,0.001,0.001,0.0,1.311,0.0,0.0,0.583
2019-01-02 04:30:00,-0.683,0.001,0.001,0.0,1.3115,0.0,0.0,0.6375
2019-01-02 05:00:00,-0.85,0.001,0.001,0.0,1.312,0.0,0.0,0.692
2019-01-02 05:30:00,-1.0045,0.0015,0.0015,0.0,1.3125,0.0,0.0,0.6739999999999999
2019-01-02 06:00:00,-1.159,0.002,0.002,0.0,1.313,0.0,0.0,0.656
2019-01-02 06:30:00,-1.3445,0.0015,0.0015,0.0,1.3135,0.0,0.0,0.5720000000000001
2019-01-02 07:00:00,-1.53,0.001,0.001,0.0,1.314,0.0,0.0,0.488
2019-01-02 07:30:00,-1.5670000000000002,0.001,0.001,0.0,1.3145,8.6715,24.1665,0.40900000000000003
2019-01-02 08:00:00,-1.604,0.001,0.001,0.0,1.315,17.343,48.333,0.33
2019-01-02 08:30:00,-0.885,0.0005,0.0005,0.0,1.3145,58.135000000000005,121.1945,0.248
2019-01-02 09:00:00,-0.166,0.0,0.0,0.0,1.314,98.927,194.056,0.166
2019-01-02 09:30:00,0.43349999999999994,0.0,0.0,0.0,1.3125,140.5405,248.40000000000003,0.179
2019-01-02 10:00:00,1.033,0.0,0.0,0.0,1.311,182.154,302.744,0.192
2019-01-02 10:30:00,1.7175,0.0,0.0,0.0,1.3079999999999998,201.08100000000002,332.092,0.23550000000000001
2019-01-02 11:00:00,2.402,0.0,0.0,0.0,1.305,220.008,361.44,0.279
2019-01-02 11:30:00,3.2385,0.0,0.0,0.0,1.3005,219.76850000000002,363.762,0.2895
2019-01-02 12:00:00,4.075,0.0,0.0,0.0,1.296,219.529,366.084,0.3
2019-01-02 12:30:00,4.3245000000000005,0.0005,0.0,0.0,1.294,200.04399999999998,341.23400000000004,0.3
2019-01-02 13:00:00,4.574,0.001,0.0,0.0,1.292,180.559,316.384,0.3
2019-01-02 13:30:00,4.308,0.001,0.0,0.0,1.2915,145.5925,266.10900000000004,0.297
2019-01-02 14:00:00,4.042,0.001,0.0,0.0,1.291,110.626,215.834,0.294
2019-01-02 14:30:00,2.9745,0.001,0.0,0.0,1.2915,69.6375,143.8265,0.2935
2019-01-02 15:00:00,1.907,0.001,0.0,0.0,1.292,28.649,71.819,0.293
2019-01-02 15:30:00,1.231,0.001,0.0,0.0,1.2925,14.3245,35.9095,0.307
2019-01-02 16:00:00,0.555,0.001,0.0,0.0,1.293,0.0,0.0,0.321
2019-01-02 16:30:00,0.42200000000000004,0.001,0.0,0.0,1.294,0.0,0.0,0.3415
2019-01-02 17:00:00,0.289,0.001,0.0,0.0,1.295,0.0,0.0,0.362
2019-01-02 17:30:00,0.22549999999999998,0.001,0.0,0.0,1.2955,0.0,0.0,0.3765
2019-01-02 18:00:00,0.162,0.001,0.0,0.0,1.296,0.0,0.0,0.391
2019-01-02 18:30:00,0.1605,0.001,0.0,0.0,1.2965,0.0,0.0,0.402
2019-01-02 19:00:00,0.159,0.001,0.0,0.0,1.297,0.0,0.0,0.413
2019-01-02 19:30:00,0.2005,0.001,0.0,0.0,1.2974999999999999,0.0,0.0,0.43
2019-01-02 20:00:00,0.242,0.001,0.0,0.0,1.298,0.0,0.0,0.447
2019-01-02 20:30:00,0.238,0.001,0.0,0.0,1.2985,0.0,0.0,0.46299999999999997
2019-01-02 21:00:00,0.234,0.001,0.0,0.0,1.299,0.0,0.0,0.479
2019-01-02 21:30:00,0.11800000000000001,0.001,0.0,0.0,1.2995,0.0,0.0,0.4905
2019-01-02 22:00:00,0.002,0.001,0.0,0.0,1.3,0.0,0.0,0.502
2019-01-02 22:30:00,-0.1505,0.001,0.0,0.0,1.3005,0.0,0.0,0.5415
