,Power
0,3.481886273679816
1,3.338540939322124
2,3.387448820688129
3,3.5129819159243367
4,3.7061527468148925
5,3.915058350467827
6,4.192910860545138
7,4.500185370991535
8,4.477344664483224
9,4.902351516760299
10,5.436453844066039
11,5.8688014186053445
12,6.679612686876497
13,8.235774360469376
14,9.34952399464665
15,9.632331070909387
16,9.21561147596724
17,8.245167422173092
18,7.002850842024588
19,6.0611738734781015
20,5.280558234612131
21,4.949208695969883
22,4.740022838276254
23,4.502549848043993
24,4.40090545738451
25,4.327726371870916
26,4.257752851841067
27,4.187222596972538
28,4.125264938290949
29,4.115679246596315
30,4.210888482534848
31,4.437051447767497
32,4.843003270283546
33,5.361659158419406
34,5.753271680933578
35,6.040689368012253
36,6.3902398915187275
37,6.694512996876399
38,6.799673069304252
39,6.774232978220011
40,6.7063308330708
41,6.628664544598643
42,6.514808528189195
43,6.2865569636974765
44,5.769539748335446
45,4.591050801399405
46,4.114446621196338
47,3.6252316080375198
48,3.4813317289658943
49,3.338009224589186
50,3.3869093166120234
51,3.5124224187442277
52,3.705562484166081
53,3.9144348163422604
54,4.192243074072252
55,4.499468646258729
56,4.47663157748929
57,4.901570740794127
58,5.435588003971115
59,5.867866720413625
60,6.6785488543398746
61,8.234462684906807
62,9.348034937078046
63,9.630796971901448
64,9.214143746056493
65,8.243854250618963
66,7.001735528768605
67,6.060208536971479
68,5.279717223325313
69,4.948420457266854
70,4.739267915684805
71,4.501832746731324
72,4.400204544526924
73,4.327037113924443
74,4.257074738269396
75,4.186555716444377
76,4.124607925486606
77,4.115023760462928
78,4.210217832845175
79,4.43634477809699
80,4.84223194645158
81,5.360805230545129
82,5.752355382655094
83,6.039727293982728
84,6.389222146114636
85,6.693446791232992
86,6.798590115278589
87,6.773154075925766
88,6.705262745252552
89,6.627608826348632
90,6.513770943286152
91,6.285555731417372
92,5.768620859113414
93,4.590319604929106
94,4.1137913313777785
95,3.6246542333426026
96,4.05579749243003
97,3.888824879902663
98,3.9457941336384277
99,4.092018557085175
100,4.317029286889545
101,4.560368315465778
102,4.88401860874373
103,5.241940462302455
104,5.215334975247352
105,5.710394718801011
106,6.3325318908742
107,6.836142310872668
108,7.7805977152740695
109,9.593257899290826
110,10.890584296088164
111,11.22000580517595
112,10.734599288315009
113,9.604199197515365
114,8.15711446397363
115,7.060223070196515
116,6.150940370587218
117,5.764975257911996
118,5.521309781673158
119,5.244694670609824
120,5.1262964713715045
121,5.04105544734153
122,4.95954835470073
123,4.877392761912251
124,4.805222766408051
125,4.794057087439095
126,4.904959440366202
127,5.168400321306212
128,5.641264238848213
129,6.245408971097695
130,6.701570075158892
131,7.036362151323248
132,7.443528274878791
133,7.797954008726572
134,7.920447371384829
135,7.890814049237992
136,7.811719751383172
137,7.721251909164275
138,7.588629270296822
139,7.322755531138114
140,6.720519570285684
141,5.347783030333066
142,4.792621291260419
143,4.222770104957397
144,4.458089704858725
145,4.274555175264734
146,4.337175176398152
147,4.497903516011649
148,4.745232930238045
149,5.012708616613113
150,5.368461595683196
151,5.761885511318121
152,5.732641041357643
153,6.27680547514558
154,6.960652074243794
155,7.5142153211379155
156,8.552350711999726
157,10.544807613473482
158,11.970815066803862
159,12.33291170524906
160,11.799357996138083
161,10.55683417275407
162,8.966213939692238
163,7.760522521648574
164,6.761048595866959
165,6.336799826429212
166,6.0689653122363145
167,5.764912907957869
168,5.634770859671848
169,5.541074827666082
170,5.451483093548901
171,5.3611785349286825
172,5.281850039224079
173,5.269576843002578
174,5.391479536308081
175,5.681050966180908
176,6.200817982785594
177,6.864887482338589
178,7.366294943033471
179,7.734294852003902
180,8.181847548354684
181,8.571428566182412
182,8.70607197478441
183,8.673499340517022
184,8.586559724908106
185,8.487118429633897
186,8.341341027761782
187,8.049095425867703
188,7.387124027644986
189,5.878226542583552
190,5.26799863102963
191,4.641624234452709
192,3.7222121783257793
193,3.568972897282712
194,3.621256486500656
195,3.755454096400573
196,3.9619579172385238
