,Heat
0,0.4590738084086621
1,0.440174257019336
2,0.44662258002448796
3,0.46317365366151103
4,0.488642512216925
5,0.516185942280053
6,0.552819766578481
7,0.59333277264759
8,0.5903213100955881
9,0.6463568893588979
10,0.716776302919193
11,0.773779729223018
12,0.880682191730072
13,1.08585634442889
14,1.23270010840834
15,1.26998717390678
16,1.2150442388273899
17,1.08709478482298
18,0.923299945224361
19,0.7991433248576372
20,0.69622204424418
21,0.6525348348804489
22,0.624954454360106
23,0.593644520189022
24,0.580243083767576
25,0.570594692395193
26,0.561368942958549
27,0.5520697900955489
28,0.543900902287223
29,0.5426370643423271
30,0.555190049449388
31,0.585008798716182
32,0.6385320428846141
33,0.7069149006533921
34,0.758547561228806
35,0.796442518685804
36,0.842529460488124
37,0.882646742413377
38,0.896511708454028
39,0.893157526673715
40,0.884204880342781
41,0.87396486788075
42,0.8589533738355699
43,0.8288592504925659
44,0.760692445659431
45,0.605313043084725
46,0.542474547248939
47,0.477973359797989
48,0.459061976202183
49,0.440162911931464
50,0.44661106873700396
51,0.463161715785279
52,0.488629917904217
53,0.51617263806069
54,0.5528055181558871
55,0.593317480039411
56,0.5903060951050961
57,0.6463402301027299
58,0.7167578286672092
59,0.7737597857599879
60,0.8806594929540921
61,1.08582835747725
62,1.2326683366933302
63,1.26995444115185
64,1.21501292217623
65,1.0870667659516802
66,0.9232761480148609
67,0.7991227276711859
68,0.6962040997593659
69,0.6525180163934
70,0.624938346732076
71,0.593629219545837
72,0.580228128534126
73,0.570579985840184
74,0.5613544741887729
75,0.552055561002911
76,0.543886883740178
77,0.542623078369547
78,0.5551757399349261
79,0.584993720650799
80,0.638515585306689
81,0.70689668057001
82,0.75852801036094
83,0.7964219911101559
84,0.8425077450638092
85,0.8826239930029051
86,0.8964886016867679
87,0.8931345063574159
88,0.884182090772732
89,0.8739423422376329
90,0.8589312350999481
91,0.82883788740538
92,0.7606728395091359
93,0.60529744169606
94,0.542460565464887
95,0.477961040472901
96,0.523807362227901
97,0.5022428033722129
98,0.509600398169073
99,0.5284853226954821
100,0.5575455203685129
101,0.588972822871539
102,0.63077234731097
103,0.676998053191563
104,0.6735619472170571
105,0.7374990493283109
106,0.817848236302225
107,0.88288966062931
108,1.0048663360044399
109,1.2389718975808
110,1.40652195872745
111,1.44906683727685
112,1.3863764520493502
113,1.24038496925735
114,1.05349357770944
115,0.911829752358869
116,0.7943956414865241
117,0.7445481409740509
118,0.713078677665567
119,0.6773537599523671
120,0.66206259993974
121,0.6510536982295141
122,0.640527034785708
123,0.629916617369374
124,0.620595842590156
125,0.619153792078727
126,0.633476861477542
127,0.667500323745009
128,0.728570828818976
129,0.8065962872384709
130,0.86550961935508
131,0.9087481081203092
132,0.9613337250220991
133,1.00710790607996
134,1.0229279575751802
135,1.01910080586538
136,1.00888575553214
137,0.9972018088144841
138,0.980073558509457
139,0.9457358919335692
140,0.8679569518652579
141,0.6906676499786361
142,0.6189683586071469
143,0.54537192108359
144,0.569163032691153
145,0.545731231991088
146,0.553725909557441
147,0.574246050530407
148,0.6058225258358281
149,0.639971069922427
150,0.6853899506227771
151,0.7356182689789459
152,0.731884635895249
153,0.801357952926047
154,0.888664451898935
155,0.959337712700583
156,1.09187616000077
157,1.3462525605728102
158,1.52831052272936
159,1.5745392966008502
160,1.5064206477431898
161,1.3477879879433101
162,1.1447139594591498
163,0.990783682274393
164,0.863181133121194
165,0.8090174145299142
166,0.77482305899883
167,0.73600477583877
168,0.7193895778981851
169,0.7074274323923629
170,0.6959892814196229
171,0.6844601243472329
172,0.6743322780760251
173,0.672765362638091
174,0.6883286444938511
175,0.7252981458090679
176,0.791656651592643
177,0.876438213944635
178,0.9404527604962759
179,0.9874352032208829
180,1.04457412747055
181,1.09431182416698
182,1.11150170948675
183,1.10734317062151
184,1.09624361485729
185,1.08354797323947
186,1.0649366141954901
187,1.02762570210608
188,0.9431120037485509
189,0.750471495038817
190,0.672563872768613
191,0.5925948333912171
192,0.48634113251389205
193,0.466319016117073
194,0.47315034619014396
195,0.490684493748797
196,0.517666110401276
197,0.546845520606909
198,0.5856552615925079
199,0.6285745937179711
200,0.625384261180507
201,0.6847481512147879
202,0.759350223288111
203,0.81973944697716
204,0.932991529173761
205,1.15035228458696
206,1.3059180371266799
207,1.3454198194773102
208,1.28721347274022
209,1.15166428386198
210,0.9781406231102191
211,0.8466095484720029
212,0.737575115976628
213,0.691293044359477
214,0.6620744889730911
215,0.628904857936016
216,0.614707424653746
217,0.6044859537246
218,0.5947122281338061
219,0.584860739218574
220,0.576206649014971
221,0.5748677436664711
222,0.5881663306944711
223,0.619756205836401
224,0.676458537156338
225,0.7489030893887719
226,0.80360254328704
227,0.843748324180287
228,0.892572663664907
229,0.935072767063397
230,0.949761261948023
231,0.9462078538994371
232,0.93672345275123
233,0.925875220579145
234,0.9099720980726229
235,0.8780904926301709
236,0.8058748260964599
237,0.641266448895717
238,0.574695573645433
239,0.506363248910712
240,0.48502802360836
241,0.49738222315134295
242,0.506800364794103
243,0.515096816540675
244,0.525276484826551
245,0.5376640288756789
246,0.554597989012203
247,0.57175534759062
248,0.6022641036025121
249,0.645882332995547
250,0.700115631198833
251,0.774444968118225
252,0.8727398786557891
253,1.03898670013673
254,1.1535691586924801
255,1.15270170414168
256,1.11462854002447
257,1.0537786331242298
258,0.9948795500511519
259,0.9413143976363059
260,0.8777619519711658
261,0.8440222219894951
262,0.8302575554653729
263,0.827251183804158
264,0.8291550807639121
265,0.8362477054496509
266,0.826632255317737
267,0.840085393664399
268,0.8611918333013129
269,0.8861801567959989
270,0.9086894823658459
271,0.9380730190439279
272,0.964146057142022
273,0.9913941308102159
274,1.0170505203809799
275,1.02968280969523
276,1.02247707292814
277,1.00431956191149
278,0.976125339086575
279,0.948385813372475
280,0.9313421742910959
281,0.928779960468169
282,0.914577669563654
283,0.8463482294406178
284,0.75860478831334
285,0.636183932069662
286,0.5216402040995061
287,0.47267382406537706
288,0.48605327814367294
289,0.49843359205220794
290,0.507871641807414
291,0.5161856306330129
292,0.5263868167499629
293,0.538800545648418
294,0.555770300870145
295,0.57296392675445
296,0.6035371723194101
297,0.647247602132484
298,0.701595538938575
299,0.7760819935626649
300,0.874584680348037
301,1.04118291514822
302,1.15600757864799
303,1.15513829046765
304,1.11698464711566
305,1.05600611539378
306,0.996982531159731
307,0.9433041524718142
308,0.8796173693457919
309,0.8458063201629609
310,0.8320125578214971
311,0.8289998312776141
312,0.8309077527037859
313,0.8380153698132041
314,0.828379594497225
315,0.841861170151491
316,0.8630122246805529
317,0.888053368611885
318,0.910610274500815
319,0.940055922238004
320,0.9661840736476139
321,0.993489744423083
322,1.01920036659173
323,1.03185935809901
324,1.02463838981139
325,1.0064424973618902
326,0.978188677455123
327,0.9503905158000849
328,0.9333108497936291
329,0.9307432199509791
330,0.916510908176632
331,0.8481372443396591
332,0.760208330710626
333,0.6375287006807521
334,0.522742849635481
335,0.47367296423513794
336,0.535128098113417
337,0.5130974773179829
338,0.520614087419809
339,0.5399071605485429
340,0.569595418929309
341,0.6017019409639539
342,0.644404853577057
343,0.691629608049045
344,0.6881192395669511
345,0.753438176105289
346,0.835523902100874
347,0.90197102791198
348,1.02658391237024
349,1.2657490577231
350,1.4369202783390802
351,1.48038465395567
352,1.41633937884899
353,1.2671926692743998
354,1.07626210562705
355,0.931536584571203
356,0.811564440351098
357,0.7606396155615192
358,0.7284900215250909
359,0.691993002487766
360,0.676371363760312
361,0.6651245332280831
362,0.654370363290104
363,0.6435306292549761
364,0.634008410133557
365,0.632535193445112
366,0.6471678187941229
367,0.68192660984468
368,0.744316995294892
369,0.824028771377729
370,0.8842153621789641
371,0.9283883385949929
372,0.982110457049167
373,1.02887392816192
374,1.04503588898791
375,1.04112602333244
376,1.0306902012132
377,1.0187537363286998
378,1.00125530337282
379,0.966175517303658
380,0.886715587425995
381,0.7055946376727809
382,0.632345752310587
383,0.557158718908851
384,0.534021410287603
385,0.5120363505828971
386,0.5195374157321769
387,0.538790589238317
388,0.5684174499196619
389,0.600457573091698
390,0.643072172656612
391,0.6901992625487819
392,0.6866961537902511
393,0.751880005529049
394,0.833795971659748
395,0.900105679485413
396,1.02446085450427
