Datetime,Energy (MWh)
2019-01-01,15.765992
2019-01-02,4.760594
2019-01-03,1.516877
2019-01-04,4.246844
2019-01-05,9.696565
2019-01-06,11.078240000000001
2019-01-07,22.17599
2019-01-08,21.862922
2019-01-09,15.653163
2019-01-10,8.449606
2019-01-11,11.749298
2019-01-12,26.610324
2019-01-13,37.354243
2019-01-14,19.623348
2019-01-15,18.539115
2019-01-16,23.230539
2019-01-17,17.262462
2019-01-18,17.667704
2019-01-19,16.627712
2019-01-20,4.017963
2019-01-21,10.85133
2019-01-22,14.236151
2019-01-23,8.951501
2019-01-24,3.203297
2019-01-25,16.579024
2019-01-26,28.371011
2019-01-27,38.594491
2019-01-28,17.032955
2019-01-29,11.839303
2019-01-30,6.927678
2019-01-31,15.453787
2019-02-01,30.307958
2019-02-02,22.130987
2019-02-03,15.452683
2019-02-04,20.239698
2019-02-05,20.470588
2019-02-06,12.606451
2019-02-07,34.646044
2019-02-08,40.526235
2019-02-09,36.433818
2019-02-10,21.18269
2019-02-11,10.995254
2019-02-12,13.193011
2019-02-13,17.398292
2019-02-14,9.621091
2019-02-15,14.679196
2019-02-16,18.361185
2019-02-17,23.911379
2019-02-18,17.960752
2019-02-19,17.523452
2019-02-20,23.523602
2019-02-21,15.032739000000001
2019-02-22,9.216294
2019-02-23,8.33165
2019-02-24,4.62693
2019-02-25,7.375285
2019-02-26,7.9731000000000005
2019-02-27,6.140695
2019-02-28,13.732073
2019-03-01,10.502305
2019-03-02,26.971438
2019-03-03,34.454149
2019-03-04,30.510621
2019-03-05,23.199476
2019-03-06,37.740337000000004
2019-03-07,33.664074
2019-03-08,22.701487
2019-03-09,28.046131
2019-03-10,34.923479
2019-03-11,32.355544
2019-03-12,40.837984
2019-03-13,39.762116999999996
2019-03-14,35.70981
2019-03-15,38.3414
2019-03-16,42.256477
2019-03-17,27.221761
2019-03-18,10.475695
2019-03-19,7.708355
2019-03-20,8.926228
2019-03-21,4.320351
2019-03-22,12.911688999999999
2019-03-23,7.7771859999999995
2019-03-24,11.059574
2019-03-25,12.499146999999999
2019-03-26,7.537773
2019-03-27,6.181087
2019-03-28,2.405532
2019-03-29,4.426006
2019-03-30,4.76712
2019-03-31,19.334354
2019-04-01,9.082315
2019-04-02,10.505921
2019-04-03,3.450224
2019-04-04,28.465661
2019-04-05,23.60331
2019-04-06,14.970536000000001
2019-04-07,6.363745
2019-04-08,1.374372
2019-04-09,15.646021
2019-04-10,17.813183
2019-04-11,8.536924
2019-04-12,9.166872
2019-04-13,12.658092
2019-04-14,15.188008
2019-04-15,24.153906
2019-04-16,2.759499
2019-04-17,6.32319
2019-04-18,15.375938
2019-04-19,11.115783
2019-04-20,7.819443
2019-04-21,5.265305
2019-04-22,10.733575
2019-04-23,9.989492
2019-04-24,16.062848000000002
2019-04-25,23.874997
2019-04-26,23.372231
2019-04-27,42.937209
2019-04-28,17.717544
2019-04-29,3.43196
2019-04-30,3.3344
2019-05-01,5.395828
2019-05-02,10.505001
2019-05-03,8.003217
2019-05-04,20.738285
2019-05-05,7.524226
2019-05-06,6.566227
2019-05-07,6.50317
2019-05-08,22.283828
2019-05-09,5.260485
2019-05-10,2.107857
2019-05-11,9.830561
2019-05-12,6.11688
2019-05-13,8.705219
2019-05-14,13.138061
2019-05-15,7.818161
2019-05-16,14.301826
2019-05-17,13.341808
2019-05-18,1.272364
2019-05-19,3.583586
2019-05-20,7.633454
2019-05-21,8.522741
2019-05-22,5.309353
2019-05-23,6.813752
2019-05-24,9.412742
2019-05-25,8.012273
2019-05-26,20.812238
2019-05-27,20.020755
2019-05-28,9.207206
2019-05-29,14.972598999999999
2019-05-30,23.698656
2019-05-31,15.842591
2019-06-01,9.868567
2019-06-02,21.613368
2019-06-03,15.717972
2019-06-04,15.011861
2019-06-05,12.130405999999999
2019-06-06,11.953235
2019-06-07,17.206983
2019-06-08,30.686712
2019-06-09,5.370263
2019-06-10,15.666352999999999
2019-06-11,26.292612000000002
2019-06-12,4.874075
2019-06-13,18.642992
2019-06-14,21.808166
2019-06-15,20.477245
2019-06-16,26.884003
2019-06-17,19.520956
2019-06-18,2.3596399999999997
2019-06-19,6.2811960000000004
2019-06-20,16.255233
2019-06-21,6.4265609999999995
2019-06-22,5.88262
2019-06-23,14.062418
2019-06-24,4.263072
2019-06-25,6.962586
2019-06-26,18.308598
2019-06-27,24.603583
2019-06-28,19.252931
2019-06-29,12.4628
2019-06-30,20.024759
2019-07-01,16.941253
2019-07-02,9.906941
2019-07-03,7.503138
2019-07-04,3.473431
2019-07-05,7.323047
2019-07-06,6.118834
2019-07-07,3.164278
2019-07-08,4.564319
2019-07-09,4.888304
2019-07-10,8.24804
2019-07-11,8.448754
2019-07-12,15.520802
2019-07-13,8.579279
2019-07-14,6.293373
2019-07-15,3.18684
2019-07-16,3.13834
2019-07-17,6.002665
2019-07-18,13.737334
2019-07-19,22.002319
2019-07-20,24.134481
2019-07-21,15.460495
2019-07-22,17.116297
2019-07-23,11.514801
2019-07-24,8.183912
2019-07-25,16.359089
2019-07-26,8.282574
2019-07-27,8.750565
2019-07-28,19.285191
2019-07-29,11.334644
2019-07-30,28.258646
2019-07-31,25.154447
2019-08-01,7.333654
2019-08-02,6.8224409999999995
2019-08-03,6.575781
2019-08-04,13.204155
2019-08-05,18.772613
2019-08-06,24.309353
2019-08-07,21.96957
2019-08-08,9.948764
2019-08-09,35.267505
2019-08-10,43.074512999999996
2019-08-11,24.977048
2019-08-12,7.983093
2019-08-13,10.618562
2019-08-14,24.299204
2019-08-15,23.851768
2019-08-16,30.791378
2019-08-17,23.688176000000002
2019-08-18,21.816529
2019-08-19,22.335682000000002
2019-08-20,14.733152
2019-08-21,12.358353
2019-08-22,16.727654
2019-08-23,5.491956
2019-08-24,7.216227
2019-08-25,9.277433
2019-08-26,3.99081
2019-08-27,4.748598
2019-08-28,10.864103
2019-08-29,14.445515
2019-08-30,20.173415
2019-08-31,21.878342
2019-09-01,13.247642
2019-09-02,16.150194
2019-09-03,17.739796
2019-09-04,29.268064
2019-09-05,18.179685
2019-09-06,21.002985
2019-09-07,13.612425
2019-09-08,3.616229
2019-09-09,7.917923
2019-09-10,6.763665
2019-09-11,24.524476
2019-09-12,22.798552
2019-09-13,10.653374
2019-09-14,5.439526
2019-09-15,9.885715000000001
2019-09-16,6.8409699999999996
2019-09-17,11.211359999999999
2019-09-18,3.787413
2019-09-19,3.9473949999999998
2019-09-20,18.492054
2019-09-21,20.854846
2019-09-22,15.927419
2019-09-23,23.803905999999998
2019-09-24,21.664353
2019-09-25,20.476144
2019-09-26,28.259942
2019-09-27,30.858172
2019-09-28,30.650399
2019-09-29,35.764944
2019-09-30,17.377095
2019-10-01,17.749797
2019-10-02,9.006945
2019-10-03,17.156395
2019-10-04,19.09251
2019-10-05,8.696972
2019-10-06,24.987434
2019-10-07,16.681837
2019-10-08,26.195901
2019-10-09,22.324208
2019-10-10,30.271223
2019-10-11,30.339555
2019-10-12,8.868742
2019-10-13,22.535043
2019-10-14,12.313981
2019-10-15,9.052552
2019-10-16,16.97946
2019-10-17,18.336539000000002
2019-10-18,31.50442
2019-10-19,14.492792999999999
2019-10-20,14.233031
2019-10-21,17.585958
2019-10-22,4.01084
2019-10-23,4.081895
2019-10-24,9.357506
2019-10-25,31.591754
2019-10-26,30.664122
2019-10-27,9.057228
2019-10-28,9.065596
2019-10-29,17.864038
2019-10-30,19.882483
2019-10-31,13.738695
2019-11-01,23.38233
2019-11-02,38.009208
2019-11-03,10.298263
2019-11-04,6.396555
2019-11-05,19.865333
2019-11-06,8.346272
2019-11-07,10.279847
2019-11-08,12.851426
2019-11-09,5.730188
2019-11-10,12.508167
2019-11-11,27.597365
2019-11-12,28.378742
2019-11-13,13.364266
2019-11-14,5.526619
2019-11-15,25.036346
2019-11-16,6.421853
2019-11-17,6.254341
2019-11-18,11.143442
2019-11-19,10.067291
2019-11-20,20.947866
2019-11-21,16.574512
2019-11-22,19.759560999999998
2019-11-23,16.534418
2019-11-24,7.002689
2019-11-25,18.917789
2019-11-26,23.707034
2019-11-27,8.409227
2019-11-28,12.264705
2019-11-29,4.661565
2019-11-30,13.761749
2019-12-01,16.966822
2019-12-02,5.580478
2019-12-03,6.186403
2019-12-04,4.362228
2019-12-05,21.175679
2019-12-06,35.907533
2019-12-07,24.062879
2019-12-08,42.059252
2019-12-09,31.030035
2019-12-10,34.129326
2019-12-11,16.085411
2019-12-12,21.885284
2019-12-13,35.615736
2019-12-14,34.755168
2019-12-15,33.851538
2019-12-16,9.753624
2019-12-17,5.48482
2019-12-18,24.221493
2019-12-19,33.096663
2019-12-20,10.651754
2019-12-21,19.861604
2019-12-22,19.313755
2019-12-23,23.766539
2019-12-24,29.571627
2019-12-25,8.374816000000001
2019-12-26,21.613233
2019-12-27,4.7074940000000005
2019-12-28,12.252134
2019-12-29,15.097751
2019-12-30,11.118208
2019-12-31,10.651168
